title,popularity,favorites,studios
One Piece Movie 07: Karakuri-jou no Mecha Kyohei,2652,22,Toei Animation
One Piece: Taose! Kaizoku Ganzack,3779,16,Production I.G
Koukaku Kidoutai: Stand Alone Complex,636,9004,Production I.G
Innocence,1549,1185,Production I.G
Karin,1476,811,J.C.Staff
Okusama wa Joshikousei (TV),4557,38,Madhouse
To Heart 2,5185,44,OLM
To Heart,4601,86,OLM
Tide-Line Blue,7696,7,Telecom Animation Film
Macross Plus,3359,503,Triangle Staff
Hotori: Tada Saiwai wo Koinegau,8333,7,Sunrise
Ginban Kaleidoscope,3481,163,Karaku
Aria the Animation,1545,2412,HAL Film Maker
Sousei no Aquarion,2699,369,Satelight
Ueki no Housoku,2028,935,Studio Deen
Yu☆Gi☆Oh! Duel Monsters,624,5276,Gallop
Yu☆Gi☆Oh! Duel Monsters GX,1207,1816,Gallop
Kurau Phantom Memory,4381,148,Bones
Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,7118,20,Studio Pierrot
Damekko Doubutsu,6807,50,Magic Bus
Kino no Tabi: The Beautiful World,767,7618,A.C.G.T.
Girls Bravo: Second Season,2432,138,AIC Spirits
Ichigo Mashimaro,1986,1132,Daume
Kamichu!,3001,294,Brain's Base
Paniponi Dash!,3012,493,Shaft|GANSIS
Armitage III: Dual-Matrix,5424,24,AIC
Armitage III: Poly-Matrix,5764,43,AIC
Bakuretsu Hunters,4998,52,Xebec
Kamui no Ken,7746,27,Madhouse|Project Team Argos
Yami to Boushi to Hon no Tabibito,4410,116,Studio Deen
Haja Taisei Dangaiou,7485,16,AIC|Artmic
Makai Toshi Shinjuku,4620,85,Madhouse
Doraemon,5291,147,Nippon TV Douga
Dragon Ball Movie 1: Shen Long no Densetsu,2842,45,Toei Animation
Eien no Aselia,9297,3,Studio Matrix
Garou Densetsu: The Motion Picture,6041,49,Studio Comet
Fushigiboshi no☆Futagohime,6271,104,HAL Film Maker
Glass no Kamen,7073,48,Eiken
Gravitation: Lyrics of Love,4384,84,Plum
Tottoko Hamtarou,3091,302,TMS Entertainment
